Filename, x0 (Nose), y0 (Nose), c0 (Nose), x1 (Neck), y1 (Neck), c1 (Neck), x2 (RShoulder), y2 (RShoulder), c2 (RShoulder), x3 (RElbow), y3 (RElbow), c3 (RElbow), x4 (RWrist), y4 (RWrist), c4 (RWrist), x5 (LShoulder), y5 (LShoulder), c5 (LShoulder), x6 (LElbow), y6 (LElbow), c6 (LElbow), x7 (LWrist), y7 (LWrist), c7 (LWrist), x8 (MidHip), y8 (MidHip), c8 (MidHip), x9 (RHip), y9 (RHip), c9 (RHip), x10 (RKnee), y10 (RKnee), c10 (RKnee), x11 (RAnkle), y11 (RAnkle), c11 (RAnkle), x12 (LHip), y12 (LHip), c12 (LHip), x13 (LKnee), y13 (LKnee), c13 (LKnee), x14 (LAnkle), y14 (LAnkle), c14 (LAnkle), x15 (REye), y15 (REye), c15 (REye), x16 (LEye), y16 (LEye), c16 (LEye), x17 (REar), y17 (REar), c17 (REar), x18 (LEar), y18 (LEar), c18 (LEar), x19 (LBigToe), y19 (LBigToe), c19 (LBigToe), x20 (LSmallToe), y20 (LSmallToe), c20 (LSmallToe), x21 (LHeel), y21 (LHeel), c21 (LHeel), x22 (RBigToe), y22 (RBigToe), c22 (RBigToe), x23 (RSmallToe), y23 (RSmallToe), c23 (RSmallToe), x24 (Rheel), y24 (Rheel), c24 (Rheel), class (number), class (text)
Training_1219_1085_bending_4_keypoints.json.png,76.8833,65.902,0.871067,65.8953,63.6273,0.736255,61.3668,66.2257,0.598711,61.05,84.3341,0.729207,61.378,94.6621,0.785772,70.0933,60.7268,0.540529,68.4821,74.9442,0.492898,65.8872,86.5972,0.58594,53.6038,83.6822,0.648279,49.7288,84.3207,0.633603,56.2012,100.496,0.619938,50.6997,108.26,0.799909,58.1201,83.3549,0.576886,63.6416,92.0866,0.765428,62.9885,104.374,0.820967,75.9179,63.6343,0.89332,78.8206,63.948,0.67839,71.0599,59.1098,0.822125,0.0,0.0,0.0,69.1257,104.054,0.695936,68.4808,103.078,0.679125,61.0387,105.673,0.717145,56.5174,112.124,0.664699,54.5754,112.449,0.623462,48.7534,109.22,0.673496,4,bending
Training_1219_1086_bending_4_keypoints.json.png,78.4924,68.8056,0.866519,66.23,66.2159,0.715516,63.306,70.0974,0.549227,63.2888,86.5971,0.752033,63.6458,96.9369,0.712881,70.0941,62.662,0.550282,69.1265,76.2304,0.562974,68.7922,86.9081,0.712907,53.9314,84.97,0.564579,50.3708,86.2602,0.578079,53.6029,101.793,0.787804,42.2888,105.676,0.803403,58.1328,84.3265,0.498902,65.5747,93.0571,0.598414,63.2955,104.373,0.787508,76.5804,66.5401,0.880323,79.4702,66.8615,0.467364,72.3561,62.6603,0.795499,0.0,0.0,0.0,69.7794,104.363,0.652457,68.8088,103.087,0.625202,61.0415,105.67,0.694286,46.4952,111.813,0.699785,44.8662,111.166,0.665342,40.0168,105.344,0.825529,4,bending
Training_1219_1087_bending_4_keypoints.json.png,76.8836,71.407,0.845612,66.2101,68.8123,0.718903,62.331,71.7187,0.587662,62.987,87.883,0.699407,65.8879,97.5905,0.750752,70.0965,66.212,0.551205,70.7313,78.8349,0.503857,71.0697,89.8171,0.663279,54.5733,86.9193,0.565101,50.3755,88.843,0.592018,53.2851,104.365,0.804404,40.0148,105.357,0.809869,58.7831,86.2643,0.452653,67.8347,93.7003,0.355184,62.9755,104.688,0.726387,76.2286,69.1339,0.873965,78.8187,69.7771,0.537603,71.0803,65.5592,0.820953,0.0,0.0,0.0,68.8101,105.017,0.535561,68.4787,104.698,0.498286,60.729,105.344,0.707867,41.9669,111.484,0.563444,40.0257,110.202,0.619603,37.4386,105.017,0.749693,4,bending
Training_1219_1088_bending_4_keypoints.json.png,73.9827,73.9835,0.875288,64.2706,71.7165,0.665238,60.7257,76.2413,0.57248,61.3741,91.766,0.682046,65.9033,102.43,0.833603,67.8297,68.1602,0.601356,70.7377,80.1184,0.53975,73.332,89.8335,0.748924,55.8761,89.831,0.574546,52.949,92.4075,0.617635,55.8651,107.295,0.806615,40.6682,105.353,0.773259,60.3961,87.8806,0.432229,71.0665,93.7018,0.499558,63.3024,104.054,0.557935,73.321,72.034,0.827145,75.9135,72.3592,0.496079,68.4851,68.4762,0.857507,0.0,0.0,0.0,68.8034,104.377,0.273946,68.4776,104.377,0.264372,61.042,105.027,0.42307,42.6197,111.815,0.652329,40.6789,110.523,0.633711,38.4096,104.695,0.692364,4,bending
Training_1219_1089_bending_4_keypoints.json.png,71.3982,76.2343,0.900836,62.3377,73.9828,0.65853,58.4445,78.1833,0.607899,58.7797,93.3828,0.690911,63.6343,104.687,0.815502,65.8804,71.0561,0.580217,69.4449,81.0938,0.670354,73.6663,89.822,0.827038,56.5107,92.0941,0.664277,52.9576,94.9969,0.665751,58.4535,109.859,0.793358,42.2927,105.669,0.77467,60.7155,89.4954,0.601604,71.7153,94.3609,0.751558,65.5657,102.45,0.4035,70.4195,73.9826,0.872769,73.3181,73.974,0.593056,65.5761,70.7487,0.830382,0.0,0.0,0.0,70.421,105.01,0.22617,70.4131,104.69,0.208802,65.5704,103.735,0.158534,42.6196,112.138,0.723828,41.3164,110.837,0.651217,40.019,104.366,0.677882,4,bending
Training_1219_1090_bending_4_keypoints.json.png,68.8181,76.5752,0.878908,61.0411,76.8838,0.741462,56.5145,79.4775,0.676921,57.4823,94.3584,0.738655,61.3662,105.989,0.738168,65.8826,74.3087,0.606684,69.4536,84.3179,0.738766,73.9792,91.4281,0.793084,57.4813,94.3365,0.67997,53.2784,96.9279,0.654965,58.7893,111.165,0.790606,42.9421,106.949,0.796053,61.0515,91.4418,0.654138,71.7203,94.6716,0.757937,64.5971,104.37,0.482163,67.8336,74.9518,0.827309,70.7349,74.9493,0.614,63.2883,71.7215,0.836654,0.0,0.0,0.0,71.3885,105.026,0.186576,71.0536,104.694,0.178178,63.9474,105.018,0.197234,42.6096,112.448,0.737636,41.6401,110.843,0.664848,41.3166,104.694,0.731752,4,bending
Training_1219_1091_bending_4_keypoints.json.png,67.5121,78.5042,0.838172,59.7426,78.4952,0.680161,55.5554,81.7361,0.686623,55.8749,95.6452,0.733188,60.7092,106.952,0.739417,63.6275,75.267,0.599489,68.8036,84.0045,0.773748,73.9652,91.4287,0.831087,57.4871,95.0035,0.648613,53.2936,98.2278,0.611139,60.7113,112.132,0.793332,43.2656,107.294,0.779288,61.0452,92.0883,0.654959,73.3208,94.6869,0.725778,65.2422,104.689,0.612875,65.8996,76.5612,0.943601,68.7883,76.5498,0.802118,61.0438,73.6535,0.885984,0.0,0.0,0.0,70.4143,105.035,0.295838,69.447,104.706,0.313328,63.6199,105.011,0.368315,42.6156,112.471,0.72715,41.9586,111.486,0.662759,41.9629,105.032,0.78202,4,bending
Training_1219_1092_bending_4_keypoints.json.png,66.5415,81.082,0.822773,58.4435,80.1211,0.663522,54.8966,84.3211,0.633514,55.8729,98.8754,0.716426,62.3311,109.226,0.693468,61.3663,76.5651,0.512007,66.8698,84.0,0.673257,73.6503,91.4362,0.769703,58.1203,96.6176,0.661669,53.9321,99.5303,0.569558,60.7121,112.45,0.713771,43.9007,107.62,0.749533,61.0498,93.3811,0.621034,73.0031,95.0086,0.654344,64.9273,104.379,0.564696,65.2517,79.1383,0.88399,68.1493,78.8283,0.640145,60.3854,75.9108,0.813646,0.0,0.0,0.0,68.1553,105.015,0.188294,68.4827,104.698,0.189579,63.6288,104.699,0.306627,42.6006,112.465,0.681408,41.642,111.166,0.631793,42.6071,105.667,0.688319,4,bending
Training_1219_1093_bending_4_keypoints.json.png,67.1853,82.7135,0.776268,57.7996,81.421,0.650849,54.2574,87.2411,0.573123,55.8588,100.179,0.664522,62.6535,109.871,0.710816,60.3905,76.5679,0.531221,65.89,84.9697,0.646715,71.7218,91.1197,0.714649,56.1948,95.9696,0.601829,52.9564,99.8473,0.584155,60.7072,112.783,0.782251,44.228,107.942,0.711967,60.393,92.408,0.578939,73.6515,94.671,0.708302,65.8905,103.408,0.692447,65.5755,81.4291,0.883086,68.1572,81.0847,0.440056,60.384,78.4932,0.786606,0.0,0.0,0.0,69.1316,105.009,0.417843,69.1256,104.687,0.417053,63.9472,104.687,0.508064,42.28,112.461,0.648411,41.0003,110.844,0.638742,42.6064,105.99,0.696598,4,bending
Training_1219_1094_bending_4_keypoints.json.png,68.1568,84.3433,0.826727,58.1154,83.0363,0.665799,55.2268,89.8236,0.601149,55.8774,102.435,0.698387,62.9802,112.132,0.70532,59.4266,76.8912,0.585632,65.8837,84.6484,0.594748,71.053,90.1521,0.688744,55.5501,96.9438,0.549138,51.6625,101.783,0.556722,60.717,114.711,0.777762,45.1976,108.251,0.793827,59.748,93.0548,0.484992,73.3268,94.341,0.678173,65.5588,102.425,0.713364,66.2095,83.994,0.884092,68.4904,82.3808,0.251357,60.7128,81.095,0.847181,0.0,0.0,0.0,69.7704,103.732,0.439918,68.8169,102.756,0.433318,63.6345,102.755,0.426201,42.5982,112.772,0.730687,41.6427,111.484,0.680814,42.9427,105.673,0.704925,4,bending
